"log_text","label","suggested_fix"
"GitHub Actions step Run npm ci failed with npm ERR! code EUSAGE. The npm ci command can only install with an existing package-lock.json or npm-shrinkwrap.json.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ci exited 1 because package-lock.json was not found in the repository checkout. Error: Process completed with exit code 1.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm ci
npm ERR! Missing lockfile: package-lock.json. npm ci requires package.json and package-lock.json to be in sync.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"CI install dependencies failed: npm ERR! The npm ci command requires an existing lockfile with lockfileVersion >= 1.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"frontend install step failed on ubuntu-latest. npm ERR! code EUSAGE npm ERR! This command requires package-lock.json.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Docker build failed at RUN npm ci: npm ERR! package-lock.json or npm-shrinkwrap.json not found after COPY package*.json ./","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Node.js workflow error: npm ci cannot continue because the lockfile is missing from the source tree.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"actions/setup-node completed, then npm ci failed: Missing package-lock.json in workspace /home/runner/work/app/app.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Error: npm ci failed because package-lock.json was deleted from the branch. Process completed with exit code 1.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm ci --prefer-offline
npm ERR! code EUSAGE
npm ERR! Missing package-lock.json file required for clean install.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"CI dependency installation stopped before tests. npm ci requires an existing lockfile but none was committed.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ERR! Clean install a project requires a package-lock.json file. Found package.json only.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"GitHub Actions log: npm ci --ignore-scripts returned EUSAGE due to absent npm lockfile.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Build job failed in install phase. npm ci reports no package-lock.json present in repository root.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm ci in apps/web failed because package-lock.json is missing in apps/web.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"monorepo web package install failed: npm ci expected package-lock.json next to package.json.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ci failed after checkout: npm ERR! This command requires an existing package-lock.json with lockfileVersion.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"CI log shows npm ERR! enoent open package-lock.json during npm ci step.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Install Dependencies step failed: cannot run npm ci without package-lock.json checked into git.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"GitHub runner error: npm ci cannot create a new lockfile; commit package-lock.json first.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ci in workflow node.yml returned EUSAGE because package-lock.json was ignored by .gitignore.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"The lockfile package-lock.json was not copied into Docker image before RUN npm ci.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm ci --audit=false failed: npm ERR! package-lock.json is required for reproducible installs.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"CI failed immediately after npm setup. Found no package-lock.json for npm ci clean install.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ERR! usage error: npm ci requires package-lock.json, npm-shrinkwrap.json, or package-lock v1+.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"The workflow checked out source but package-lock.json is absent, causing npm ci exit code 1.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Install step in pull_request workflow failed because lockfile was missing from the branch.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"npm ci cannot proceed in /home/runner/work/project/project/frontend without package-lock.json.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"GitHub Actions dependency cache restored, but npm ci still failed due to missing package-lock.json.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"CI clean install error: npm ERR! No lockfile found. package-lock.json must be committed.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm test
npm ERR! Missing script: ""test""
npm ERR! To see a list of scripts, run npm run.","npm_missing_test_script","Add a test script to package.json or update the CI workflow to run the correct npm script."
"GitHub Actions test step failed: npm ERR! missing script: test. Process completed with exit code 1.","npm_missing_test_script","Add a test script to package.json or update the CI workflow to run the correct npm script."
"npm test exited with code 1 because package.json has no scripts.test entry.","npm_missing_test_script","Add a test script to package.json or update the CI workflow to run the correct npm script."
