"log_text","label","suggested_fix"
"npm ci failed: The package-lock.json file was not found. npm ci can only install packages when package.json and package-lock.json are in sync.","npm_missing_lockfile","Commit package-lock.json or use npm install to generate it before running npm ci."
"Run npm ci returned EUSAGE: Missing package-lock.json. This command requires an existing lockfile with lockfileVersion.","npm_missing_lockfile","Generate and commit package-lock.json, then rerun the pipeline."
"CI error in frontend install step: npm ERR! code EUSAGE npm ERR! The npm ci command can only install with an existing package-lock.json.","npm_missing_lockfile","Add the missing package-lock.json file to source control."
"GitHub Actions install dependencies failed because package-lock.json or npm-shrinkwrap.json was not present in the repository.","npm_missing_lockfile","Run npm install locally and commit the generated lockfile."
"Docker build step failed at RUN npm ci with npm ERR! Missing lockfile: package-lock.json was not copied into the image.","npm_missing_lockfile","Ensure package-lock.json exists and is copied before npm ci in the Dockerfile."
"npm install: Error The lockfile was not found, running npm install instead.","npm_missing_lockfile","Generate lockfile locally with npm install and commit it to git."
"CI pipeline error: npm ci requires package-lock.json to be in the repository root directory.","npm_missing_lockfile","Ensure package-lock.json is present and committed to the repository."
"Cannot run npm ci without a valid package-lock.json or npm-shrinkwrap.json file in the project directory.","npm_missing_lockfile","Create the lockfile by running npm install and committing it."
"npm ERR! The npm ci command is a strict, non-interactive automated install and cannot proceed without package-lock.json.","npm_missing_lockfile","Commit the lockfile generated by npm install to enable CI builds."
"Frontend job failed: package-lock.json is required for reproducible builds in CI environments.","npm_missing_lockfile","Generate package-lock.json locally and push to repository."
"npm ci error: Expected package-lock.json or npm-shrinkwrap.json in the current working directory.","npm_missing_lockfile","Ensure the lockfile exists in the repository root."
"Installation failed because neither package-lock.json nor npm-shrinkwrap.json could be found.","npm_missing_lockfile","Run npm install to generate the package-lock.json file."
"GitHub Actions step failed: npm ci cannot find package-lock.json after checkout.","npm_missing_lockfile","Ensure the lockfile is tracked in git and pushed to the branch."
"npm install step error: lockfile is required for npm ci. Use npm install or commit the lockfile.","npm_missing_lockfile","Commit package-lock.json to version control."
"CI build failed at dependency install: package-lock.json not found in build context.","npm_missing_lockfile","Add and commit package-lock.json to the repository."
"npm ci failed: no package-lock.json located in /github/workspace/frontend directory.","npm_missing_lockfile","Generate and commit package-lock.json in the frontend directory."
"Cannot proceed with npm ci: package-lock.json is missing. Please use npm install.","npm_missing_lockfile","Run npm install locally and commit the generated lockfile."
"npm ERR! package-lock.json required for ci installation. Commit the file to source control.","npm_missing_lockfile","Ensure package-lock.json is in your git repository."
"CI pipeline halted: npm ci requires a lockfile which was not found in this repository.","npm_missing_lockfile","Generate package-lock.json and push to your default branch."
"npm install failed: cannot find or access package-lock.json file needed for ci mode.","npm_missing_lockfile","Create package-lock.json by running npm install and committing it."
"Frontend build step failed: Missing required package-lock.json for consistent dependency resolution.","npm_missing_lockfile","Commit the lockfile generated by npm install."
"npm ci error: --prefer-offline mode requires package-lock.json to be present.","npm_missing_lockfile","Ensure package-lock.json exists in the repository."
"GitHub Actions: npm ci cannot function without a valid package-lock.json file.","npm_missing_lockfile","Generate and commit package-lock.json."
"npm test failed: npm ERR! Missing script: test. To see a list of scripts, run npm run.","npm_missing_test_script","Add a test script to package.json or update CI to run the correct npm script."
"CI pipeline failed at Run npm test with npm ERR! missing script: test and exited with code 1.","npm_missing_test_script","Define scripts.test in package.json, for example using jest, vitest, or react-scripts."
"Frontend test job failed: npm ERR! Missing script: test. package.json contains build and lint but no test command.","npm_missing_test_script","Add a valid test command or remove the test step from the workflow."
"Node test step returned Lifecycle script test not found in package.json during GitHub Actions run.","npm_missing_test_script","Create the missing npm test script in package.json."
"npm run test produced: Missing script test. Available scripts are dev, build, preview.","npm_missing_test_script","Point the workflow to an existing script or add a new test script."
"Test step error: npm ERR! Unknown script: test. Check package.json for valid script names.","npm_missing_test_script","Add test script to package.json or use existing script name."
"npm ERR! The test script is not defined in package.json scripts section.","npm_missing_test_script","Define a test script in package.json like test: jest or test: vitest."
"CI failed: No npm script named test found. Available: dev, build, lint.","npm_missing_test_script","Add test script to package.json or modify the CI workflow."
"npm run test could not find the test script in your package.json configuration.","npm_missing_test_script","Configure the test script in package.json."
"GitHub Actions test job: npm ERR! missing script: test in package.json.","npm_missing_test_script","Add scripts.test to your package.json."
"npm ERR! code ENOENT: Cannot find test script. Add it to package.json.","npm_missing_test_script","Define a test script in your package.json."
"Test command failed: npm ERR! Missing script test. Please add it to package.json.","npm_missing_test_script","Add a test script to package.json."
"CI step failed: npm ERR! Missing script test from package.json.","npm_missing_test_script","Add the test script to package.json."
"npm run test returned: script not found. Define it in package.json.","npm_missing_test_script","Add test to the scripts section of package.json."
"npm install failed with ERESOLVE unable to resolve dependency tree while resolving frontend project peer dependencies.","npm_install_failed","Resolve dependency version conflicts or run with an intentional legacy peer dependency strategy."
"Install dependencies failed: npm ERR! code ETARGET No matching version found for vite@99.0.0.","npm_install_failed","Correct the invalid package version in package.json or package-lock.json."
"npm install exited with code 1 after npm ERR! network timeout while trying to fetch package from registry.npmjs.org.","npm_install_failed","Retry the job and verify npm registry/network access or configure a reliable registry mirror."
"CI install step failed: npm ERR! 404 Not Found for private package @company/ui-kit because authentication token was missing.","npm_install_failed","Configure the npm auth token or package registry credentials in CI secrets."
"npm ci failed with integrity checksum mismatch for dependency tarball in package-lock.json.","npm_install_failed","Regenerate package-lock.json and clear the npm cache if the lockfile is corrupted."
"npm install error: unable to resolve dependency tree due to conflicting peer dependency versions.","npm_install_failed","Use npm install --legacy-peer-deps or update package versions."
"npm ERR! ERESOLVE unable to resolve dependency tree for react@18 and react-dom@17.","npm_install_failed","Update dependencies to compatible versions."
"npm install failed: ETARGET npm cannot find version 1.99.0 of package lodash.","npm_install_failed","Correct the package version in package.json."
"CI dependency step failed: npm ERR! 403 Forbidden when downloading private package @org/lib.","npm_install_failed","Ensure npm authentication tokens are configured in CI environment."
